경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
83,2021.12.03,현대캐피탈,3:2,108,110,2h 17m,win,018,한국전력
107,2021.12.17,현대캐피탈,3:1,98,84,1h 58m,win,018,한국전력
137,2022.01.04,현대캐피탈,2:3,106,109,2h 25m,lose,018,한국전력
211,2022.03.06,현대캐피탈,3:2,108,105,2h 23m,win,018,한국전력
231,2022.03.24,현대캐피탈,3:0,76,68,1h 35m,win,018,한국전력
33,2021.11.04,OK금융그룹,0:3,57,75,1h 34m,lose,018,한국전력
47,2021.11.12,OK금융그룹,3:1,96,90,1h 57m,win,018,한국전력
93,2021.12.09,OK금융그룹,3:2,109,110,2h 21m,win,018,한국전력
167,2022.01.21,OK금융그룹,3:1,92,79,1h 53m,win,018,한국전력
173,2022.01.30,OK금융그룹,1:3,80,96,1h 51m,lose,018,한국전력
220,2022.03.15,OK금융그룹,3:1,94,90,1h 58m,win,018,한국전력
21,2021.10.28,우리카드,0:3,58,75,1h 23m,lose,018,한국전력
57,2021.11.18,우리카드,1:3,89,95,1h 56m,lose,018,한국전력
113,2021.12.21,우리카드,0:3,65,78,1h 30m,lose,018,한국전력
143,2022.01.07,우리카드,0:3,61,75,1h 21m,lose,018,한국전력
189,2022.02.08,우리카드,1:3,85,97,1h 57m,lose,018,한국전력
234,2022.03.27,우리카드,1:3,84,93,1h 52m,lose,018,한국전력
238,2022.04.01,우리카드,3:1,98,94,2h 14m,win,018,한국전력
25,2021.10.30,대한항공,0:3,58,75,1h 22m,lose,018,OK금융그룹
73,2021.11.27,대한항공,0:3,46,75,1h 25m,lose,018,OK금융그룹
103,2021.12.15,대한항공,3:2,106,106,2h 20m,win,018,OK금융그룹
141,2022.01.06,대한항공,0:3,65,77,1h 30m,lose,018,OK금융그룹
192,2022.02.10,대한항공,0:3,61,75,1h 25m,lose,018,OK금융그룹
232,2022.03.25,대한항공,0:3,67,76,1h 34m,lose,018,OK금융그룹
41,2021.11.09,삼성화재,3:1,92,91,2h 00m,win,018,OK금융그룹
53,2021.11.16,삼성화재,3:2,111,105,2h 30m,win,018,OK금융그룹
87,2021.12.05,삼성화재,3:2,102,104,2h 19m,win,018,OK금융그룹
161,2022.01.18,삼성화재,0:3,62,75,1h 25m,lose,018,OK금융그룹
187,2022.02.06,삼성화재,3:2,115,110,2h 30m,win,018,OK금융그룹
227,2022.03.21,삼성화재,3:1,99,83,1h 56m,win,018,OK금융그룹
17,2021.10.26,KB손해보험,3:1,90,84,1h 56m,win,018,OK금융그룹
81,2021.12.02,KB손해보험,1:3,94,94,2h 10m,lose,018,OK금융그룹
117,2021.12.23,KB손해보험,3:2,108,107,2h 28m,win,018,OK금융그룹
131,2021.12.31,KB손해보험,0:3,77,88,1h 42m,lose,018,OK금융그룹
179,2022.02.02,KB손해보험,3:0,75,65,1h 36m,win,018,OK금융그룹
223,2022.03.18,KB손해보험,1:3,107,114,2h 36m,lose,018,OK금융그룹
3,2021.10.17,현대캐피탈,1:3,90,98,2h 05m,lose,018,OK금융그룹
61,2021.11.20,현대캐피탈,3:2,105,97,2h 11m,win,018,OK금융그룹
123,2021.12.26,현대캐피탈,0:3,54,75,1h 17m,lose,018,OK금융그룹
149,2022.01.11,현대캐피탈,2:3,106,108,2h 23m,lose,018,OK금융그룹
197,2022.02.13,현대캐피탈,3:0,79,70,1h 45m,win,018,OK금융그룹
235,2022.03.28,현대캐피탈,1:3,80,94,1h 50m,lose,018,OK금융그룹
33,2021.11.04,한국전력,3:0,75,57,1h 34m,win,018,OK금융그룹
47,2021.11.12,한국전력,1:3,90,96,1h 57m,lose,018,OK금융그룹
93,2021.12.09,한국전력,2:3,110,109,2h 21m,lose,018,OK금융그룹
167,2022.01.21,한국전력,1:3,79,92,1h 53m,lose,018,OK금융그룹
173,2022.01.30,한국전력,3:1,96,80,1h 51m,win,018,OK금융그룹
220,2022.03.15,한국전력,1:3,90,94,1h 58m,lose,018,OK금융그룹
9,2021.10.21,우리카드,3:2,112,109,2h 22m,win,018,OK금융그룹
65,2021.11.23,우리카드,3:0,75,60,1h 21m,win,018,OK금융그룹
109,2021.12.18,우리카드,0:3,64,75,1h 29m,lose,018,OK금융그룹
157,2022.01.15,우리카드,3:2,104,97,2h 18m,win,018,OK금융그룹
212,2022.03.07,우리카드,3:2,106,99,2h 15m,win,018,OK금융그룹
216,2022.03.11,우리카드,1:3,83,98,1h 58m,lose,018,OK금융그룹
1,2021.10.16,대한항공,1:3,90,96,1h 47m,lose,018,우리카드
51,2021.11.14,대한항공,0:3,52,75,1h 22m,lose,018,우리카드
85,2021.12.04,대한항공,0:3,62,75,1h 23m,lose,018,우리카드
135,2022.01.02,대한항공,3:0,76,61,1h 27m,win,018,우리카드
177,2022.02.01,대한항공,3:1,98,83,1h 56m,win,018,우리카드
221,2022.03.16,대한항공,2:3,104,106,2h 21m,lose,018,우리카드
29,2021.11.02,삼성화재,2:3,103,99,2h 09m,lose,018,우리카드
79,2021.12.01,삼성화재,2:3,108,103,2h 17m,lose,018,우리카드
121,2021.12.25,삼성화재,3:0,75,50,1h 17m,win,018,우리카드
