경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
112,2021.12.19,GS 칼텍스,3:1,96,82,1h 58m,win,18,한국도로공사
166,2022.01.20,GS 칼텍스,3:1,94,83,1h 59m,win,18,한국도로공사
172,2022.01.29,GS 칼텍스,0:3,60,75,1h 27m,lose,18,한국도로공사
18,2021.10.26,IBK기업은행,3:1,95,74,1h 54m,win,18,한국도로공사
82,2021.12.02,IBK기업은행,3:0,75,50,1h 17m,win,18,한국도로공사
118,2021.12.23,IBK기업은행,3:2,111,101,2h 21m,win,18,한국도로공사
132,2021.12.31,IBK기업은행,3:0,75,53,1h 22m,win,18,한국도로공사
180,2022.02.02,IBK기업은행,1:3,85,94,1h 57m,lose,18,한국도로공사
24,2021.10.29,페퍼저축은행,3:0,75,59,1h 23m,win,18,한국도로공사
76,2021.11.28,페퍼저축은행,3:1,96,82,1h 51m,win,18,한국도로공사
106,2021.12.16,페퍼저축은행,3:0,75,59,1h 28m,win,18,한국도로공사
140,2022.01.05,페퍼저축은행,3:0,75,49,1h 17m,win,18,한국도로공사
204,2022.02.27,페퍼저축은행,3:0,75,55,1h 25m,win,18,한국도로공사
14,2021.10.23,한국도로공사,3:0,86,71,1h 42m,win,18,KGC인삼공사
64,2021.11.21,한국도로공사,0:3,52,75,1h 24m,lose,18,KGC인삼공사
126,2021.12.28,한국도로공사,1:3,91,98,2h 03m,lose,18,KGC인삼공사
160,2022.01.16,한국도로공사,0:3,63,81,1h 30m,lose,18,KGC인삼공사
198,2022.02.21,한국도로공사,1:3,94,99,2h 09m,lose,18,KGC인삼공사
22,2021.10.28,흥국생명,3:1,90,78,1h 47m,win,18,KGC인삼공사
58,2021.11.18,흥국생명,3:0,75,57,1h 24m,win,18,KGC인삼공사
114,2021.12.21,흥국생명,0:3,47,75,1h 18m,lose,18,KGC인삼공사
144,2022.01.07,흥국생명,1:3,84,96,1h 57m,lose,18,KGC인삼공사
190,2022.02.08,흥국생명,0:3,64,75,1h 26m,lose,18,KGC인삼공사
40,2021.11.07,GS 칼텍스,3:1,104,84,2h 03m,win,18,KGC인삼공사
78,2021.11.30,GS 칼텍스,0:3,54,75,1h 22m,lose,18,KGC인삼공사
120,2021.12.24,GS 칼텍스,3:1,101,101,2h 08m,win,18,KGC인삼공사
154,2022.01.13,GS 칼텍스,1:3,91,96,1h 57m,lose,18,KGC인삼공사
205,2022.02.28,GS 칼텍스,0:3,52,78,1h 19m,lose,18,KGC인삼공사
34,2021.11.04,IBK기업은행,3:1,98,77,1h 57m,win,18,KGC인삼공사
48,2021.11.12,IBK기업은행,3:0,75,52,1h 20m,win,18,KGC인삼공사
94,2021.12.09,IBK기업은행,3:0,77,66,1h 32m,win,18,KGC인삼공사
168,2022.01.21,IBK기업은행,0:3,47,75,1h 15m,lose,18,KGC인삼공사
174,2022.01.30,IBK기업은행,2:3,100,111,2h 13m,lose,18,KGC인삼공사
226,2022.03.20,IBK기업은행,1:3,80,101,1h 53m,lose,18,KGC인삼공사
6,2021.10.19,페퍼저축은행,3:1,91,83,1h 47m,win,18,KGC인삼공사
70,2021.11.25,페퍼저축은행,3:0,75,44,1h 14m,win,18,KGC인삼공사
100,2021.12.12,페퍼저축은행,3:0,75,56,1h 25m,win,18,KGC인삼공사
134,2022.01.01,페퍼저축은행,3:0,75,48,1h 18m,win,18,KGC인삼공사
182,2022.02.03,페퍼저축은행,3:1,98,71,1h 41m,win,18,KGC인삼공사
208,2022.03.03,페퍼저축은행,3:1,100,92,2h 04m,win,18,KGC인삼공사
38,2021.11.06,한국도로공사,1:3,86,104,2h 06m,lose,18,흥국생명
46,2021.11.11,한국도로공사,1:3,83,97,1h 47m,lose,18,흥국생명
96,2021.12.10,한국도로공사,1:3,80,94,1h 53m,lose,18,흥국생명
152,2022.01.12,한국도로공사,1:3,76,97,1h 47m,lose,18,흥국생명
186,2022.02.05,한국도로공사,1:3,76,97,1h 51m,lose,18,흥국생명
210,2022.03.05,한국도로공사,0:3,61,75,1h 27m,lose,18,흥국생명
22,2021.10.28,KGC인삼공사,1:3,78,90,1h 47m,lose,18,흥국생명
58,2021.11.18,KGC인삼공사,0:3,57,75,1h 24m,lose,18,흥국생명
114,2021.12.21,KGC인삼공사,3:0,75,47,1h 18m,win,18,흥국생명
